,,,,,,,
,,,,                                      Yangon Weather Analsis ,,,
,,,,,,,
,Epoch,Batch,TrainAccuracy,Loss,Validation Accuracy,Validation Loss,RMSE
,140,64,0.816,0.0159,0.8066,0.0183,5.406
,132,32,0.8197,0.0154,0.8066,0.019,5.76
,125,64,0.8137,0.0161,0.8139,0.0185,5.504
,100,64,0.8143,0.0201,0.8102,0.0187,5.605
,80,32,0.8173,0.0159,0.8029,0.0195,5.607
,60,32,0.816,0.0162,0.8029,0.0194,5.827
,,,,,,,
,,,,                               Pyin Oo Lwin Weather Analysis,,,
,,,,,,,
,Epoch,Batch,TrainAccuracy,Loss,Validation Accuracy,Validation Loss,RMSE
,140,64,0.6846,0.0204,0.653,0.0266,4.56
,132,32,0.6981,0.0194,0.673,0.0238,4.37
,125,56,0.701,0.0208,0.6735,0.0244,4.533
,100,64,0.6875,0.021,0.6735,0.0261,4.6
,80,32,0.6788,0.0207,0.673,0.0275,4.567
,60,32,0.6981,0.0213,0.673,0.0269,4.692
,,,,,,,
,,,,                                 YCC Weather Analysis,,,
,,,,,,,
,Epoch,Batch,TrainAccuracy,Loss,Validation Accuracy,Validation Loss,RMSE
,140,64,0.9795,9.70E-04,1.00E+00,5.36E-04,0.023
,132,32,0.974,9.32E-04,1,8.17E-04,0.029
,125,32,0.9767,7.55E-04,1,6.38E-04,0.027
,100,64,0.9779,1.10E-03,1,4.97E-04,0.033
,80,32,0.9732,9.47E-04,1,8.34E-04,0.029
,60,32,0.9743,9.59E-04,1,0.0011,0.033
