"Date","Time","Temp_Max","Temp_Min","Rain_Fall","Humidity","Wind Speed","Wind Direction"
"2015-01-01","9:30 A.M","32","19.8","0","58","3.6","SE"
"2015-01-01","12:30 P.M","32","19.8","0","39","3.6","SE"
"2015-01-01","5:30 P.M","32","19.8","0","68","1.2","SE"
"2015-01-02","9:30 A.M","31.6","19","0","54","1.2","SE"
"2015-01-02","12:30 P.M","31.6","19","0","41","4.8","SE"
"2015-01-02","5:30 P.M","31.6","19","0","67","1.2","SE"
"2015-01-03","9:30 A.M","32.7","18","0","64","2.4","SE"
"2015-01-03","12:30 P.M","32.7","18","0","42","2.4","E"
"2015-01-03","5:30 P.M","32.7","18","0","61","1.2","SW"
"2015-01-04","9:30 A.M","33.3","19.3","0","69","1.2","S"
"2015-01-04","12:30 P.M","33.3","19.3","0","48","1.2","SW"
"2015-01-04","5:30 P.M","33.3","19.3","0","62","1.2","SE"
"2015-01-05","9:30 A.M","34.4","21.5","0","69","1.2","NW"
"2015-01-05","12:30 P.M","34.4","21.5","0","43","1.2","NW"
"2015-01-05","5:30 P.M","34.4","21.5","0","74","1.2","SW"
"2015-01-06","9:30 A.M","33.7","21.8","0","88","1.2","SE"
"2015-01-06","12:30 P.M","33.7","21.8","0","54","2.4","SE"
"2015-01-06","5:30 P.M","33.7","21.8","0","70","1.2","SE"
"2015-01-07","9:30 A.M","33.2","18.6","0","72","1.2","NW"
"2015-01-07","12:30 P.M","33.2","18.6","0","44","1.2","SW"
"2015-01-07","5:30 P.M","33.2","18.6","0","68","0","Calm"
"2015-01-08","9:30 A.M","30.4","19.5","0","67","1.2","NW"
"2015-01-08","12:30 P.M","30.4","19.5","0","63","1.2","SW"
"2015-01-08","5:30 P.M","30.4","19.5","0","76","1.2","SW"
"2015-01-09","9:30 A.M","29.5","21","0","67","2.4","NW"
"2015-01-09","12:30 P.M","29.5","21","0","49","2.4","NW"
"2015-01-09","5:30 P.M","29.5","21","0","70","2.4","SW"
"2015-01-10","9:30 A.M","29","15.4","0","65","2.4","NW"
"2015-01-10","12:30 P.M","29","15.4","0","51","1.2","SE"
"2015-01-10","5:30 P.M","29","15.4","0","73","0","Calm"
"2015-01-11","9:30 A.M","31","15","0","54","1.2","SE"
"2015-01-11","12:30 P.M","31","15","0","48","4.8","SE"
"2015-01-11","5:30 P.M","31","15","0","67","1.2","SW"
"2015-01-12","9:30 A.M","32","17.3","0","51","3.6","NE"
"2015-01-12","12:30 P.M","32","17.3","0","46","1.2","SE"
"2015-01-12","5:30 P.M","32","17.3","0","65","1.2","E"
"2015-01-13","9:30 A.M","31","17.8","0","62","3.6","SE"
"2015-01-13","12:30 P.M","31","17.8","0","44","3.6","NE"
"2015-01-13","5:30 P.M","31","17.8","0","50","0","Calm"
"2015-01-14","9:30 A.M","33.4","19","0","50","1.2","SE"
"2015-01-14","12:30 P.M","33.4","19","0","47","2.4","S"
"2015-01-14","5:30 P.M","33.4","19","0","58","2.4","SE"
"2015-01-15","9:30 A.M","31.4","19.5","0","54","4.8","SE"
"2015-01-15","12:30 P.M","31.4","19.5","0","39","3.7","SE"
"2015-01-15","5:30 P.M","31.4","19.5","0","61","2.4","NW"
"2015-01-16","9:30 A.M","34","18","0","78","2.4","SE"
"2015-01-16","12:30 P.M","34","18","0","46","3.6","SE"
"2015-01-16","5:30 P.M","34","18","0","58","1.2","SE"
"2015-01-17","9:30 A.M","31","20","0","78","3.6","SE"
"2015-01-17","12:30 P.M","31","20","0","63","4.8","SE"
"2015-01-17","5:30 P.M","31","20","0","76","1.2","SE"
"2015-01-18","9:30 A.M","33","21","0","64","4.8","SE"
"2015-01-18","12:30 P.M","33","21","0","40","6","SE"
"2015-01-18","5:30 P.M","33","21","0","72","2.4","NW"
"2015-01-19","9:30 A.M","32.5","23","0","74","2.4","SW"
"2015-01-19","12:30 P.M","32.5","23","0","56","3.6","SE"
"2015-01-19","5:30 P.M","32.5","23","0","65","1.2","SE"
"2015-01-20","9:30 A.M","32.8","20.5","0","76","1.2","SE"
"2015-01-20","12:30 P.M","32.8","20.5","0","49","2.4","SE"
"2015-01-20","5:30 P.M","32.8","20.5","0","92","1.2","SW"
"2015-01-21","9:30 A.M","34","21.8","0","76","2.4","NE"
"2015-01-21","12:30 P.M","34","21.8","0","48","6","NE"
"2015-01-21","5:30 P.M","34","21.8","0","50","3.6","NW"
"2015-01-22","9:30 A.M","33.8","18.5","0","56","3.6","NE"
"2015-01-22","12:30 P.M","33.8","18.5","0","44","3.6","NE"
"2015-01-22","5:30 P.M","33.8","18.5","0","50","1.2","SW"
"2015-01-23","9:30 A.M","33.2","17","0","54","1.2","SE"
"2015-01-23","12:30 P.M","33.2","17","0","31","2.4","SE"
"2015-01-23","5:30 P.M","33.2","17","0","51","1.2","NW"
"2015-01-24","9:30 A.M","33","17.4","0","64","2.4","NW"
"2015-01-24","12:30 P.M","33","17.4","0","32","2.4","NW"
"2015-01-24","5:30 P.M","33","17.4","0","61","2.4","SW"
"2015-01-25","9:30 A.M","33.8","18","0","63","2.4","NE"
"2015-01-25","12:30 P.M","33.8","18","0","33","1.2","NW"
"2015-01-25","5:30 P.M","33.8","18","0","58","1.2","SW"
"2015-01-26","9:30 A.M","33.5","18","0","70","1.2","SW"
"2015-01-26","12:30 P.M","33.5","18","0","34","3.6","SE"
"2015-01-26","5:30 P.M","33.5","18","0","61","1.2","NW"
